AIRCRAFT,RENAMED,ACCL,AEM,AMAX,CACCL,CARROP,CATG,CCLIMB,CGFRC,CLIMB,CLRNG,DIVE,DMPIPP,DTRNG,EXPND,FLIR,FMC,GEM,GFRC,INVSB,IRTW,JP,LDELY,LINK16,MAINT,MNFAL,MNMNT,MNRPR,MSOA,ODELY,PBBAD,PBBDA,PBFAL,PBGAB,PBLCH,PBREC,PBRTB,PSILOW,PSILOWPD,PSIMIN,PSINITE,PSINITEPD,PSIRATIO,QMAX,RADTW,RANGE,RCVR,RDELY,REACT,RSURF,SDMNT,SEM,SLTPR,SURVV,SYSFL,TNKR,VCRU,VISTW,VMAX,VMIN,XSECT
CASA212,,40,1,31000,60,NO ,JET     ,6000,2.50,3000,5,,1,5,NO ,NO,95.00,1,1.25,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,230,,2000,NONE,60,NO ,UNIMPROVED,100,1,LOW,,,NONE,170,,230,110,10
CASH,,,1,30000,,NO ,JET     ,3200,,3200,7,,1,15,NO ,NO,95.00,100,,NO ,,32675,10,NO ,200,600,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1900,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,300,,360,72,15
CF18A,,,145,50000,,NO ,JET     ,9000,,9000,2,,1,5,YES,NO,95.00,100,,NO ,,12000,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,200,5
CH124,,30,1,10000,40,YES,JET     ,2000,4.00,1000,3,,1,6,NO ,NO,95.00,1,1.25,NO ,,5400,1,NO ,100,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,100,,600,NONE,30,NO ,UNIMPROVED,100,1,NONE,,,NONE,180,,220,0,5
CH46,,40,1,10800,60,YES,JET     ,3000,3.00,2130,3,,1,7,NO ,NO,95.00,1,1.25,NO ,,2500,10,NO ,100,300,30,20,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,130,,300,NONE,10,NO ,UNIMPROVED,10,1,NONE,,,NONE,130,,145,0,10
CH46NA,,,1,10800,,YES,JET     ,2130,,2130,3,,1,7,NO ,NO,95.00,1,,NO ,,2500,10,NO ,100,300,30,20,100,30,50.00,50.00,,5.00,,,20.00,,,,,,,130,,300,NONE,10,NO ,UNIMPROVED,10,1,NONE,,,NONE,130,,145,146,10
CH47,,,1,14000,,YES,JET     ,2100,,2100,5,,1,10,NO ,NO,95.00,1,,NO ,,1800,10,NO ,100,558,258,144,100,0,5.00,5.00,,5.00,,,5.00,,,,,,,170,,300,NONE,10,NO ,UNIMPROVED,0,1,NONE,,,NONE,160,,170,,11
CH53,,,1,14000,,YES,JET     ,2100,,2100,5,,1,10,NO ,NO,95.00,1,,NO ,,1800,10,NO ,100,558,258,144,100,0,50.00,50.00,,5.00,,,20.00,,,,,,,170,,300,NONE,10,NO ,UNIMPROVED,0,1,NONE,,,NONE,160,,170,0,11
CH53E,,40,1,14000,45,YES,JET     ,4000,4.00,2100,5,,1,10,NO ,NO,95.00,1,1.25,NO ,,1800,10,NO ,100,558,258,144,100,0,50.00,50.00,,5.00,,,20.00,,,,,,,170,,300,DROGUE,10,NO ,UNIMPROVED,0,1,NONE,,,NONE,160,,170,0,11
CHANGHE,,,1,10000,,NO ,JET     ,1500,,1500,4,,1,7,NO ,NO,95.00,100,,NO ,,7370,1,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,100,,1000,NONE,60,NO ,UNIMPROVED,100,100,LOW,,,NONE,120,,120,120,10
CJ-6,,,1,20500,,NO ,JET     ,1248,,1248,3,,1,5,NO ,NO,95.00,100,,NO ,,243,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,150,,372,NONE,60,NO ,UNIMPROVED,100,100,LOW,,,NONE,160,,199,199,10
CLANKA,,,1,21000,,NO ,JET     ,2000,,2000,3,,1,10,NO ,NO,95.00,1,,NO ,,5000,10,NO ,200,1000,300,100,1000,30,5.00,5.00,,5.00,,,5.00,,,,,,,250,,1300,NONE,100,NO ,IMPROVED,150,1,NONE,,,NONE,230,,300,200,5
CLASSIC,,,1,40000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,,10
CLINE,,,1,30000,,NO ,JET     ,3200,,3200,7,,1,15,NO ,NO,95.00,1,,NO ,,32675,10,NO ,200,600,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1900,NONE,100,NO ,IMPROVED,150,1,NONE,,,NONE,300,,360,0,15
CLOBBER,,,1,40000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,0,10
COACH,,40,1,30000,60,NO ,JET     ,3200,2.50,2000,7,,1,15,NO ,NO,95.00,1,1.25,NO ,,32675,10,NO ,200,600,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1900,NONE,100,NO ,IMPROVED,150,1,NONE,,,NONE,300,,360,120,15
COALER,,,100,30000,,NO ,JET     ,2000,,2000,7,,1,15,NO ,NO,95.00,100,,NO ,,33000,10,NO ,100,1000,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,NONE,60,NO ,UNIMPROVED,100,100,NONE,,,NONE,300,,360,72,15
COCK,,,100,45000,,NO ,JET     ,3000,,3000,9,,1,12,NO ,NO,95.00,100,,NO ,,105000,10,NO ,100,1000,200,60,1000,0,5.00,5.00,,5.00,,,5.00,,,,,,,300,,6000,NONE,100,NO ,IMPROVED,100,100,NONE,,,NONE,450,,480,96,20
CODLING,,,1,40000,,NO ,JET     ,9600,,9600,2,,1,5,NO ,NO,95.00,1,,NO ,,8000,5,NO ,100,600,200,25,1000,1,5.00,5.00,,5.00,,,5.00,,,,,,,350,,1600,NONE,25,NO ,IMPROVED,100,1,NONE,,,NONE,400,,410,200,5
COKE,,,100,30000,,NO ,JET     ,3200,,3200,7,,1,15,NO ,NO,95.00,100,,NO ,,32675,10,NO ,200,600,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1900,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,300,,360,200,15
COLT,,40,1,16400,60,NO ,JET     ,1200,2.50,738,5,,1,5,NO ,NO,95.00,1,1.25,NO ,,2130,10,NO ,100,800,200,60,500,10,5.00,5.00,,5.00,,,5.00,,,,,,,130,,475,NONE,60,NO ,UNIMPROVED,100,1,LOW,,,NONE,86,,138,80,10
COMMANDR,,,1,31000,,NO ,JET     ,3000,,3000,5,,1,5,NO ,NO,95.00,100,,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,200,,2000,NONE,60,NO ,UNIMPROVED,100,100,NONE,,,NONE,150,,200,60,10
CONDOR,,,1,35000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,150000,10,NO ,100,800,20,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,80,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
COOTA,,40,1,35000,60,NO ,JET     ,3000,2.50,2000,9,,1,12,NO ,NO,95.00,1,1.25,NO ,,22000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,4000,NONE,100,NO ,IMPROVED,150,1,NONE,,,NONE,250,,360,120,15
COSSACK,,,1,35000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,150000,10,NO ,100,800,20,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,80,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,,10
CRATE,,,1,30000,,YES,JET     ,3200,,3200,7,,1,15,NO ,NO,95.00,1,,NO ,,32675,10,NO ,200,600,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1900,NONE,100,NO ,IMPROVED,150,1,NONE,,,NONE,300,,360,,15
CRUSTYA,,,1,40000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,0,10
CUB,,40,1,35000,60,NO ,JET     ,3000,2.50,2000,9,,1,12,NO ,NO,95.00,100,1.25,NO ,,15000,10,NO ,300,1000,200,12,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,NONE,80,NO ,UNIMPROVED,200,100,NONE,,,NONE,300,,360,72,15
CUBA,,40,1,35000,60,NO ,JET     ,3000,2.50,2000,9,,1,12,NO ,NO,95.00,100,1.25,NO ,,15000,10,NO ,300,1000,200,12,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,NONE,80,NO ,UNIMPROVED,200,100,NONE,,,NONE,300,,360,200,15
CUBB,,,1,35000,,NO ,JET     ,2000,,2000,9,,1,12,NO ,NO,95.00,100,,NO ,,15000,10,NO ,300,1000,200,12,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,NONE,80,NO ,UNIMPROVED,200,100,NONE,,,NONE,300,,360,200,15
CUBC,,,1,35000,,NO ,JET     ,2000,,2000,9,,1,12,NO ,NO,95.00,100,,NO ,,15000,10,NO ,300,1000,200,12,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,NONE,80,NO ,UNIMPROVED,200,100,NONE,,,NONE,300,,360,0,15
CUBD,,,1,35000,,YES,JET     ,2000,,2000,9,,1,12,NO ,NO,95.00,100,,NO ,,15000,10,NO ,300,1000,200,12,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,NONE,80,NO ,IMPROVED,200,100,NONE,,,NONE,300,,360,,15
CURLA,,40,1,35000,60,NO ,JET     ,3000,2.50,2000,9,,1,12,NO ,NO,95.00,1,1.25,NO ,,15000,10,NO ,300,1000,200,12,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,NONE,80,NO ,IMPROVED,200,1,NONE,,,NONE,300,,360,72,15
CV22B,,45,1,30000,80,YES,JET     ,4000,4.50,2000,7,,1,15,NO ,NO,95.00,100,1.25,NO ,,33000,10,NO ,100,1000,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,DROGUE,60,NO ,UNIMPROVED,100,100,NONE,,,DROGUE,300,,360,0,15
DA20,,,1,24000,,NO ,JET     ,5000,,5000,6,,1,10,NO ,NO,95.00,1,,NO ,,5000,5,NO ,180,1000,300,1000,1000,35,5.00,5.00,,5.00,,,5.00,,,,,,,300,,900,NONE,35,NO ,IMPROVED,150,1,LOW,,,NONE,220,,420,84,3
DAUPHIN,,20,1,12600,30,YES,JET     ,3000,2.50,2000,3,,1,10,NO ,NO,95.00,1,1.25,NO ,,1800,5,NO ,100,300,30,20,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,120,,1000,NONE,30,NO ,UNIMPROVED,10,1,LOW,,,NONE,110,,120,0,8
DC10,,90,1,40000,120,NO ,JET     ,4500,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
DC8,,70,1,45000,90,NO ,JET     ,4000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,165000,10,NO ,100,800,200,60,1000,0,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,NONE,100,NO ,IMPROVED,100,1,NONE,,,NONE,450,,480,200,20
DC9,,60,1,40000,70,NO ,JET     ,4000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,37960,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,3022,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,120,10
DRONE,,,1,10000,,YES,JET     ,1500,,1500,2,,1,3,NO ,NO,95.00,1,,NO ,,7370,5,NO ,25,1000,45,1000,1000,15,5.00,5.00,,5.00,,,5.00,,,,,,,100,,1000,NONE,15,NO ,UNIMPROVED,15,1,NONE,,,NONE,120,,120,120,10
E10A,,80,1,49000,120,NO ,JET     ,5000,2.50,4000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,148000,10,YES,200,1000,300,100,1000,30,50.00,50.00,,5.00,,,10.00,,,,,,,350,,7700,BOOM,60,NO ,IMPROVED,150,1,NONE,,,NONE,450,,540,96,4
E2C,,50,1,31000,60,YES,JET     ,4000,3.50,2500,5,,1,5,NO ,NO,95.00,1,1.25,NO ,,12400,10,NO ,100,800,200,60,500,0,50.00,50.00,,5.00,,,10.00,,,,,,,335,,2000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,260,,338,75,10
E3A,,80,1,45000,120,NO ,JET     ,5000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,148000,10,NO ,200,1000,300,100,1000,30,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,BOOM,60,NO ,IMPROVED,150,1,NONE,,,NONE,450,,480,90,4
E3B,,80,1,45000,120,NO ,JET     ,5000,2.50,4000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,148000,10,NO ,200,1000,300,100,1000,30,50.00,50.00,,5.00,100.00,100.00,10.00,,,,,,,350,,6000,BOOM,60,NO ,IMPROVED,150,1,NONE,,,NONE,450,,480,96,4
E3C,,80,1,45000,120,NO ,JET     ,5000,2.50,4000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,148000,10,NO ,200,1000,300,100,1000,30,50.00,50.00,,5.00,,,10.00,,,,,,,350,,6000,BOOM,60,NO ,IMPROVED,150,1,NONE,,,NONE,450,,480,96,4
E3D,,,1,45000,,NO ,JET     ,5000,,5000,10,,1,15,NO ,NO,95.00,1,,NO ,,148000,10,NO ,200,1000,300,100,1000,30,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,BOOM,60,NO ,IMPROVED,150,1,NONE,,,NONE,450,,480,200,4
E3F,,,1,45000,,NO ,JET     ,5000,,5000,10,,1,15,NO ,NO,95.00,1,,NO ,,148000,10,NO ,200,1000,300,100,1000,30,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,NONE,60,NO ,IMPROVED,150,1,NONE,,,NONE,450,,480,200,4
E4A,,,1,40000,,NO ,JET     ,5000,,5000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,60,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,80,NO ,IMPROVED,30,1,NONE,,,NONE,480,,540,,10
E4B,,,1,40000,,NO ,JET     ,5000,,5000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,60,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,80,NO ,IMPROVED,30,1,NONE,,,NONE,480,,540,0,10
E6A,,,1,45000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,165000,10,NO ,100,800,200,60,1000,0,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,NONE,100,NO ,IMPROVED,100,1,NONE,,,NONE,450,,480,96,20
E767,,80,1,40000,120,NO ,JET     ,4500,3.50,3000,10,6000,1,15,NO ,NO,95.00,1,1.45,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,BOOM,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
E8A,,,1,45000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,165000,10,NO ,100,800,200,60,1000,0,50.00,50.00,,5.00,,,10.00,,,,,,,350,,6000,NONE,100,NO ,IMPROVED,100,1,NONE,,,NONE,450,,480,200,20
E8C,,80,1,45000,100,NO ,JET     ,4000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.45,NO ,,165000,10,NO ,100,800,200,60,1000,0,50.00,50.00,,5.00,,,10.00,,,,,,,350,,6000,BOOM,100,NO ,IMPROVED,100,1,NONE,,,NONE,450,,480,120,20
EA18G,,300,145,50000,450,YES,JET     ,9000,8.00,4500,2,,1,5,NO ,NO,95.00,100,4.00,NO ,,14000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,DROGUE,60,YES,IMPROVED,100,100,MED,,,DROGUE,480,,900,120,5
