AIRCRAFT,RENAMED,ACCL,AEM,AMAX,CACCL,CARROP,CATG,CCLIMB,CGFRC,CLIMB,CLRNG,DIVE,DMPIPP,DTRNG,EXPND,FLIR,FMC,GEM,GFRC,INVSB,IRTW,JP,LDELY,LINK16,MAINT,MNFAL,MNMNT,MNRPR,MSOA,ODELY,PBBAD,PBBDA,PBFAL,PBGAB,PBLCH,PBREC,PBRTB,PSILOW,PSILOWPD,PSIMIN,PSINITE,PSINITEPD,PSIRATIO,QMAX,RADTW,RANGE,RCVR,RDELY,REACT,RSURF,SDMNT,SEM,SLTPR,SURVV,SYSFL,TNKR,VCRU,VISTW,VMAX,VMIN,XSECT
A6E,,,80,42000,,YES,HELO    ,5000,,5000,2,,1,5,NO ,NO,95.00,100,,NO ,,24000,5,NO ,100,600,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1650,NONE,60,NO ,IMPROVED,100,100,MED,,,NONE,480,,560,200,5
A7H,,,100,45000,,NO ,HELO    ,3000,,3000,2,,1,5,YES,NO,95.00,100,,NO ,,8000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1050,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,600,,5
AB212,,30,1,12600,40,YES,HELO    ,2000,3.50,1000,3,,1,10,NO ,NO,95.00,1,1.25,NO ,,1800,5,NO ,100,300,30,20,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,120,,1000,NONE,30,NO ,UNIMPROVED,10,1,LOW,,,NONE,110,,120,0,8
AC130A,,40,1,30000,50,NO ,HELO    ,3200,2.50,3200,7,,1,15,NO ,NO,95.00,100,1.25,NO ,,32675,10,NO ,100,800,200,60,500,25,50.00,50.00,,5.00,,,10.00,,,,,,,300,,1900,BOOM,80,NO ,UNIMPROVED,100,100,NONE,,,NONE,300,,360,120,15
AC130H,,40,1,30000,50,NO ,HELO    ,3200,2.50,3200,7,,1,15,NO ,NO,95.00,100,1.25,NO ,,32675,10,NO ,100,800,200,60,500,25,50.00,50.00,,5.00,,,10.00,,,,,,,300,,1900,BOOM,80,NO ,UNIMPROVED,100,100,NONE,,,NONE,300,,360,120,15
AC130U,,50,1,30000,60,NO ,HELO    ,3200,2.50,3200,7,,1,15,NO ,NO,95.00,100,1.25,NO ,,32675,10,NO ,100,800,200,60,500,25,50.00,50.00,,5.00,,,10.00,,,,,,,300,,1900,BOOM,80,NO ,UNIMPROVED,100,100,NONE,,,NONE,300,,360,72,15
ADNAN1,,,1,51824,,NO ,HELO    ,1000,,1000,9,,1,12,NO ,NO,95.00,1,,NO ,,146828,10,NO ,200,1000,300,100,1000,30,5.00,5.00,,5.00,,,5.00,,,,,,,350,,4900,NONE,60,NO ,IMPROVED,150,1,NONE,,,NONE,455,,480,0,19
AH1SNEW,,,9,12600,,YES,HELO    ,2000,,2000,3,,1,10,NO ,NO,95.00,100,,NO ,,1800,5,NO ,100,300,30,20,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,150,,1000,NONE,30,NO ,UNIMPROVED,10,100,LOW,,,NONE,110,,150,30,
AH1W,,40,1,12600,60,YES,HELO    ,2000,5.50,2000,3,,1,10,NO ,NO,95.00,100,2.50,NO ,,1800,5,NO ,100,300,30,20,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,150,,1000,DROGUE,30,NO ,UNIMPROVED,10,100,LOW,,,NONE,110,,150,0,8
AH64A,,35,100,10000,50,YES,HELO    ,1500,5.50,1500,4,,1,7,YES,NO,95.00,100,2.50,NO ,,7370,1,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,100,,1000,DROGUE,60,YES,UNIMPROVED,100,100,LOW,,,NONE,120,,120,0,10
AH64D,,,100,10000,,YES,HELO    ,1500,,1500,4,,1,7,YES,NO,95.00,100,,NO ,,7370,1,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,100,,1000,NONE,60,YES,UNIMPROVED,100,100,LOW,,,NONE,120,,120,,10
AJS37,,60,100,48000,120,NO ,HELO    ,10000,7.50,10000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,15000,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,600,DROGUE,60,YES,UNIMPROVED,100,100,MED,,,NONE,480,,1200,200,4
AJSF37,,40,100,48000,60,NO ,HELO    ,10000,7.00,10000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,15000,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,600,DROGUE,60,YES,UNIMPROVED,100,100,MED,,,NONE,480,,1200,200,4
AJSH37,,40,100,48000,60,NO ,HELO    ,10000,7.00,10000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,15000,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,600,DROGUE,60,YES,UNIMPROVED,100,100,MED,,,NONE,480,,1200,200,4
AL1A,,80,1,40000,120,NO ,HELO    ,5000,2.50,3000,10,10000,1,15,NO ,NO,95.00,1,1.25,NO ,,140000,10,NO ,100,800,60,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,BOOM,80,NO ,IMPROVED,30,100,NONE,,,NONE,480,,540,120,10
ALIZE,,30,1,28300,50,YES,HELO    ,5000,2.50,3000,9,,1,12,NO ,NO,95.00,100,1.50,NO ,,57500,10,NO ,200,800,100,100,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,4500,NONE,100,NO ,IMPROVED,100,100,NONE,,,NONE,205,,410,200,10
ALOUETT3,,,1,10000,,YES,HELO    ,1000,,1000,3,,1,6,NO ,NO,95.00,100,,NO ,,5400,1,NO ,200,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,214,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,180,,215,0,5
ALOUETTE,,,1,10000,,YES,HELO    ,1000,,1000,3,,1,6,NO ,NO,95.00,100,,NO ,,5400,1,NO ,200,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,215,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,180,,215,24,5
ALPHAJET,,80,70,45000,120,NO ,HELO    ,4000,7.50,2500,2,,1,5,YES,NO,95.00,100,2.00,NO ,,8000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1050,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,600,120,5
AMX,,,100,45000,,NO ,HELO    ,3000,,3000,2,,1,5,YES,NO,95.00,100,,NO ,,8000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1050,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,600,120,5
AN-2,,,1,16400,,NO ,HELO    ,738,,738,5,,1,5,NO ,NO,95.00,1,,NO ,,2130,10,NO ,100,800,200,60,500,10,5.00,5.00,,5.00,,,5.00,,,,,,,130,,475,NONE,60,NO ,UNIMPROVED,100,1,LOW,,,NONE,86,,138,139,10
AS61,,,1,10000,,YES,HELO    ,1000,,1000,3,,1,6,NO ,NO,95.00,100,,NO ,,5400,1,NO ,200,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,195,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,180,,195,120,5
AT38B,,,1,45000,,YES,HELO    ,3000,,3000,2,,1,5,YES,NO,95.00,100,,NO ,,8000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1050,NONE,60,YES,IMPROVED,100,100,LOW,,,NONE,480,,700,200,5
ATLANTIQ,,40,1,28300,50,NO ,HELO    ,5000,2.50,3000,9,,1,12,NO ,NO,95.00,100,1.25,NO ,,57500,10,NO ,200,800,100,100,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,4500,NONE,100,NO ,IMPROVED,100,100,NONE,,,NONE,205,,410,120,10
ATLANTQ2,,80,1,28300,120,NO ,HELO    ,5000,2.50,3000,9,,1,12,NO ,NO,95.00,100,1.25,NO ,,57500,10,NO ,200,800,100,100,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,4500,NONE,100,NO ,IMPROVED,100,100,NONE,,,NONE,205,,410,120,10
ATR72,,,1,30000,,NO ,HELO    ,3200,,3200,7,,1,15,NO ,NO,95.00,1,,NO ,,32675,10,NO ,200,600,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1900,NONE,100,NO ,IMPROVED,150,1,NONE,,,NONE,300,,360,72,15
AV8B,,60,70,50000,80,YES,HELO    ,3000,7.50,3000,2,,2,5,YES,NO,95.00,100,4.00,NO ,,12000,5,NO ,100,600,200,25,100,30,50.00,50.00,,50.00,,,10.00,,,,,,,575,,1400,DROGUE,60,YES,UNIMPROVED,100,100,MED,,,NONE,480,,640,0,5
B1B,,300,1,35000,500,NO ,HELO    ,6000,6.00,4000,15,,6,20,NO ,NO,95.00,100,2.00,NO ,,230000,5,NO ,200,1000,300,100,200,100,50.00,50.00,,5.00,,,10.00,,,,,,,700,,9000,BOOM,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,800,200,20
B1B_TST1,,300,1,35000,500,NO ,HELO    ,6000,6.00,4000,15,,6,20,NO ,NO,95.00,100,2.00,NO ,,230000,5,NO ,200,1000,300,100,200,100,50.00,50.00,,5.00,,,10.00,,,,,,,700,,4500,BOOM,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,800,200,20
B1B_TST2,,300,1,35000,500,NO ,HELO    ,6000,6.00,4000,15,,6,20,NO ,NO,95.00,100,2.00,NO ,,230000,5,NO ,200,1000,300,100,200,100,50.00,50.00,,5.00,,,10.00,,,,,,,700,,2250,BOOM,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,800,200,20
B2A,,75,1,50000,200,NO ,HELO    ,4000,4.50,4000,15,,8,20,NO ,NO,95.00,200,1.75,YES,,200000,5,NO ,200,1000,300,100,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,450,,6600,BOOM,100,NO ,IMPROVED,150,200,NONE,,,NONE,450,,480,120,0
B412,,,1,10000,,YES,HELO    ,1000,,1000,3,,1,6,NO ,NO,95.00,100,,NO ,,5400,1,NO ,200,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,215,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,180,,215,121,5
B52G,,,1,45000,,NO ,HELO    ,4000,,4000,15,,1,20,NO ,NO,95.00,100,,NO ,,230000,5,NO ,200,1000,300,100,500,100,50.00,50.00,,5.00,,,10.00,,,,,,,350,,9000,BOOM,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,480,120,20
B52H,,40,1,49000,50,NO ,HELO    ,6000,2.25,3000,15,,10,20,NO ,YES,95.00,100,1.50,NO ,,280000,5,NO ,200,1000,300,100,100,100,50.00,50.00,,5.00,,,10.00,,,,,,,350,,9000,BOOM,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,480,96,20
B707,,40,1,45000,60,NO ,HELO    ,4000,2.50,2000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,165000,10,NO ,100,800,200,60,1000,0,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,NONE,100,NO ,IMPROVED,100,1,NONE,,,NONE,450,,480,200,20
B717,,60,1,40000,80,NO ,HELO    ,3000,2.50,2000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,37960,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,3022,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
B727,,60,1,40000,80,NO ,HELO    ,3000,2.50,2000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,120,10
B737,,80,1,40000,120,NO ,HELO    ,4000,2.50,2000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,39688,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,3751,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,90,10
B747,,80,1,50000,120,NO ,HELO    ,6000,2.50,3500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,381900,10,NO ,100,800,60,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,7335,NONE,80,NO ,IMPROVED,30,1,NONE,,,NONE,480,,540,108,10
B757,,80,1,40000,120,NO ,HELO    ,5000,2.50,2000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,74679,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,3930,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
B767,,80,1,50000,120,NO ,HELO    ,5000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,162340,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6655,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
B777,,80,1,50000,120,NO ,HELO    ,5000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,299490,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,7625,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,120,10
BACKFIRB,,120,100,45000,300,NO ,HELO    ,4000,6.00,4000,4,,1,8,NO ,YES,95.00,100,3.00,NO ,,68000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,5100,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,540,,1000,0,15
BACKFIRC,,80,100,45000,120,NO ,HELO    ,4000,4.50,4000,4,,1,8,NO ,YES,95.00,100,2.50,NO ,,68000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,5100,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,NONE,540,,1000,200,15
BADGERA,,,100,40000,,NO ,HELO    ,3000,,3000,5,,1,9,NO ,NO,95.00,100,,NO ,,34000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3300,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,600,200,15
BADGERC,,60,100,40000,80,NO ,HELO    ,3500,2.50,2000,5,,1,9,NO ,NO,95.00,100,1.25,NO ,,34000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3300,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,DROGUE,450,,600,200,15
BADGERD,,,100,40000,,NO ,HELO    ,3000,,3000,5,,1,9,NO ,NO,95.00,100,,NO ,,34000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3300,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,600,,15
BADGERE,,,100,40000,,NO ,HELO    ,3000,,3000,5,,1,9,NO ,NO,95.00,100,,NO ,,34000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3300,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,600,0,15
BADGERF,,,100,40000,,NO ,HELO    ,3000,,3000,5,,1,9,NO ,NO,95.00,100,,NO ,,34000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3300,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,600,120,15
BADGERG,,50,100,40000,60,NO ,HELO    ,4000,2.50,2000,5,,1,9,NO ,NO,95.00,100,1.25,NO ,,34000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3300,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,DROGUE,450,,600,200,15
BADGERH,,,100,40000,,NO ,HELO    ,2760,,2760,5,,1,9,NO ,NO,95.00,100,,NO ,,76824,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1850,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,365,,600,200,19
BADGERJ,,60,100,40000,80,NO ,HELO    ,4000,2.50,2000,5,,1,9,NO ,NO,95.00,100,1.25,NO ,,34000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3300,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,DROGUE,450,,600,120,15
BADGERK,,,100,40000,,NO ,HELO    ,3000,,3000,5,,1,9,NO ,NO,95.00,100,,NO ,,34000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3300,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,450,,600,0,15
BEAGLE,,40,1,39000,60,NO ,HELO    ,2500,2.50,2000,4,,1,7,NO ,NO,95.00,100,1.25,NO ,,11900,10,NO ,200,1000,150,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1300,NONE,100,NO ,IMPROVED,100,100,MED,,,NONE,400,,480,96,5
BEARD,,60,100,45000,80,NO ,HELO    ,4000,2.50,2500,4,10000,1,7,NO ,NO,95.00,100,1.25,NO ,,150000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,350,,10000,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,NONE,445,,510,200,15
BEARF,,60,100,45000,80,NO ,HELO    ,4000,2.50,2500,4,10000,1,7,NO ,NO,95.00,100,1.25,NO ,,150000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,350,,10000,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,NONE,445,,510,200,15
BEARG,,60,100,45000,80,NO ,HELO    ,4000,2.50,2500,4,10000,1,7,NO ,NO,95.00,100,1.25,NO ,,150000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,350,,10000,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,NONE,445,,510,120,15
BEARH,,60,100,45000,80,NO ,HELO    ,4000,2.50,2500,4,10000,1,7,NO ,NO,95.00,100,1.25,NO ,,150000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,350,,10000,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,NONE,445,,510,120,15
BEARJ,,,100,45000,,NO ,HELO    ,5000,,5000,4,,1,7,NO ,NO,95.00,100,,NO ,,150000,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,350,,10000,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,445,,510,102,15
BISONA,,,1,45000,,NO ,HELO    ,4000,,4000,8,,1,12,NO ,NO,95.00,100,,NO ,,92500,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,400,,8500,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,445,,550,200,10
BLACKJAC,,,1,55000,,NO ,HELO    ,4000,,4000,4,,1,7,NO ,NO,95.00,100,,NO ,,131400,10,NO ,200,1000,300,100,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,9050,NONE,30,NO ,IMPROVED,150,100,NONE,,,NONE,430,,1150,200,15
BLINDERA,,,100,50000,,NO ,HELO    ,4000,,4000,4,,1,8,NO ,NO,95.00,100,,NO ,,68000,10,NO ,200,1000,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,540,,900,,15
BLINDERB,,,100,50000,,NO ,HELO    ,4000,,4000,4,,1,8,NO ,NO,95.00,100,,NO ,,68000,10,NO ,200,1000,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,540,,900,0,15
BLINDERC,,100,100,50000,140,NO ,HELO    ,6000,6.00,4000,4,,1,8,NO ,NO,95.00,100,2.00,NO ,,68000,10,NO ,200,1000,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,DROGUE,100,NO ,IMPROVED,150,100,NONE,,,NONE,540,,900,180,15
BLINDERD,,,100,50000,,NO ,HELO    ,4000,,4000,4,,1,8,NO ,NO,95.00,100,,NO ,,68000,10,NO ,200,1000,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,540,,900,200,15
BO105,,,100,10000,,YES,HELO    ,1500,,1500,4,,1,7,NO ,NO,95.00,100,,NO ,,7370,1,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,100,,1000,NONE,60,NO ,UNIMPROVED,100,100,LOW,,,NONE,120,,120,,10
BONANZA,,,1,11000,,NO ,HELO    ,3000,,1500,5,,1,5,NO ,NO,95.00,100,,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,210,,2000,NONE,60,NO ,UNIMPROVED,100,100,LOW,,,NONE,190,,210,115,10
BREWERE,,60,100,40000,80,NO ,HELO    ,4000,4.50,2500,4,,1,7,NO ,NO,95.00,100,1.25,NO ,,6500,5,NO ,100,600,200,50,1000,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1300,NONE,60,NO ,IMPROVED,100,100,MED,,,NONE,420,,600,200,10
